iter	Passed	Remaining
0	13	4386
1	25	3934
2	37	3880
3	48	3773
4	61	3806
5	72	3756
6	84	3741
7	96	3699
8	107	3676
9	119	3642
10	130	3628
11	141	3580
12	152	3559
13	164	3555
14	177	3552
15	187	3521
16	200	3522
17	212	3519
18	224	3504
19	235	3486
20	247	3473
21	259	3471
22	271	3453
23	282	3443
24	295	3439
25	308	3436
26	320	3430
27	331	3412
28	343	3395
29	353	3374
30	364	3353
31	375	3334
32	385	3309
33	397	3299
34	408	3276
35	420	3268
36	430	3247
37	441	3233
38	452	3212
39	463	3200
40	474	3181
41	485	3167
42	497	3157
43	508	3144
44	519	3129
45	530	3111
46	541	3101
47	554	3093
48	566	3088
49	578	3076
50	590	3068
